ticker,title,cik_str
AAUAF,ALMADEN MINERALS LTD,0001015647
ALNY,"ALNYLAM PHARMACEUTICALS, INC.",0001178670
AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,0001387467
AMOD,"ALPHA MODUS HOLDINGS, INC.",0001862463
AMODW,"ALPHA MODUS HOLDINGS, INC.",0001862463
APT,ALPHA PRO TECH LTD,0000884269
ATMCW,ALPHATIME ACQUISITION CORP,0001889106
ATMCU,ALPHATIME ACQUISITION CORP,0001889106
ATMC,ALPHATIME ACQUISITION CORP,0001889106
ATMCR,ALPHATIME ACQUISITION CORP,0001889106
ALRTF,ALR Technologies SG Ltd.,0001930419
SOHGY,ALSOK Co Ltd./ADR,0001536787
SOHGF,ALSOK Co Ltd./ADR,0001536787
AOMFF,ALSTOM,0001062066
ALTS,ALT5 Sigma Corp,0000862861
ALTG,ALTA EQUIPMENT GROUP INC.,0001759824
ALTG-PA,ALTA EQUIPMENT GROUP INC.,0001759824
ATHE,ALTERITY THERAPEUTICS LTD,0001131343
PRNAF,ALTERITY THERAPEUTICS LTD,0001131343
ALTX,ALTEX INDUSTRIES INC,0000775057
ASPS,ALTISOURCE PORTFOLIO SOLUTIONS S.A.,0001462418
ASPSW,ALTISOURCE PORTFOLIO SOLUTIONS S.A.,0001462418
ASPSZ,ALTISOURCE PORTFOLIO SOLUTIONS S.A.,0001462418
MO,"ALTRIA GROUP, INC.",0000764180
ALMMF,ALUMINUM CORP OF CHINA LTD,0001161611
ALMS,ALUMIS INC.,0001847367
ALXO,ALX ONCOLOGY HOLDINGS INC,0001810182
AXREF,AMARC RESOURCES LTD,0001175596
AMRN,AMARIN CORP PLC\UK,0000897448
AMRQF,AMAROQ LTD.,0002076631
AMZE,"AMAZE HOLDINGS, INC.",0001880343
AMZN,AMAZON COM INC,0001018724
AMBC,AMBAC FINANCIAL GROUP INC,0000874501
AMBA,AMBARELLA INC,0001280263
ABEV,AMBEV S.A.,0001565025
AMC,"AMC ENTERTAINMENT HOLDINGS, INC.",0001411579
AMCX,AMC Networks Inc.,0001514991
DIT,AMCON DISTRIBUTING CO,0000928465
DOX,AMDOCS LTD,0001062579
AMED,AMEDISYS INC,0000896262
AEE,AMEREN CORP,0001002910
AMX,AMERICA MOVIL SAB DE CV/,0001129137
AMXOF,AMERICA MOVIL SAB DE CV/,0001129137
AXL,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,0001062231
BLTH,"AMERICAN BATTERY MATERIALS, INC.",0001487718
ABAT,AMERICAN BATTERY TECHNOLOGY Co,0001576873
ACIC,AMERICAN COASTAL INSURANCE Corp,0001401521
AEO,AMERICAN EAGLE OUTFITTERS INC,0000919012
AEP,AMERICAN ELECTRIC POWER CO INC,0000004904
AXP,AMERICAN EXPRESS CO,0000004962
AFGD,AMERICAN FINANCIAL GROUP INC,0001042046
AFG,AMERICAN FINANCIAL GROUP INC,0001042046
AFGB,AMERICAN FINANCIAL GROUP INC,0001042046
AFGE,AMERICAN FINANCIAL GROUP INC,0001042046
AFGC,AMERICAN FINANCIAL GROUP INC,0001042046
AIG,"AMERICAN INTERNATIONAL GROUP, INC.",0000005272
USGDF,AMERICAN PACIFIC MINING CORP,0001726159
APEI,AMERICAN PUBLIC EDUCATION INC,0001201792
ARL,AMERICAN REALTY INVESTORS INC,0001102238
AREBW,AMERICAN REBEL HOLDINGS INC,0001648087
AREB,AMERICAN REBEL HOLDINGS INC,0001648087
AMS,AMERICAN SHARED HOSPITAL SERVICES,0000744825
AWR,AMERICAN STATES WATER CO,0001056903
AMSC,AMERICAN SUPERCONDUCTOR CORP /DE/,0000880807
AMT,AMERICAN TOWER CORP /MA/,0001053507
AVD,AMERICAN VANGUARD CORP,0000005981
AMWD,AMERICAN WOODMARK CORP,0000794619
CRMT,AMERICAS CARMART INC,0000799850
COLD,AMERICOLD REALTY TRUST,0001455863
AGSS,"AMERIGUARD SECURITY SERVICES, INC.",0001514443
AMP,AMERIPRISE FINANCIAL INC,0000820027
AMSF,AMERISAFE INC,0001018979
ASRV,AMERISERV FINANCIAL INC /PA/,0000707605
AMTY,AMERITYRE CORP,0000945828
ATLO,AMES NATIONAL CORP,0001132651
AME,AMETEK INC/,0001037868
AMGN,AMGEN INC,0000318154
FOLD,"AMICUS THERAPEUTICS, INC.",0001178879
AMKR,"AMKOR TECHNOLOGY, INC.",0001047127
AMN,AMN HEALTHCARE SERVICES INC,0001142750
AP,AMPCO PITTSBURGH CORP,0000006176
APH,AMPHENOL CORP /DE/,0000820313
AXR,AMREP CORP.,0000006207
HKD,AMTD Digital Inc.,0001809691
AMTD,AMTD IDEA GROUP,0001769731
ASYS,AMTECH SYSTEMS INC,0000720500
ANTX,"AN2 Therapeutics, Inc.",0001880438
AEBZY,ANADOLU EFES BIRACILIK VE MALT SANAYI A S/ADR,0001174511
AEBMY,ANADOLU EFES BIRACILIK VE MALT SANAYI A S/ADR,0001174511
AEBMF,ANADOLU EFES BIRACILIK VE MALT SANAYI A S/ADR,0001174511
ADI,ANALOG DEVICES INC,0000006281
ANAB,"ANAPTYSBIO, INC",0001370053
AVXL,ANAVEX LIFE SCIENCES CORP.,0001314052
AKO-B,ANDINA BOTTLING CO INC,0000925261
AKO-A,ANDINA BOTTLING CO INC,0000925261
AVG,ANEW HEALTH Ltd,0002019042
ANGO,ANGIODYNAMICS INC,0001275187
ANIP,ANI PHARMACEUTICALS INC,0001023024
NLY-PF,ANNALY CAPITAL MANAGEMENT INC,0001043219
NLY,ANNALY CAPITAL MANAGEMENT INC,0001043219
NLY-PI,ANNALY CAPITAL MANAGEMENT INC,0001043219
NNLYP,ANNALY CAPITAL MANAGEMENT INC,0001043219
NLY-PG,ANNALY CAPITAL MANAGEMENT INC,0001043219
AR,ANTERO RESOURCES Corp,0001433270
ANVI,"ANVI GLOBAL HOLDINGS, INC.",0001570132
APA,APA Corp,0001841666
AIV,APARTMENT INVESTMENT & MANAGEMENT CO,0000922864
APOG,"APOGEE ENTERPRISES, INC.",0000006845
APPF,APPFOLIO INC,0001433195
APPN,APPIAN CORP,0001441683
APDN,APPLIED DNA SCIENCES INC,0000744452
AERGP,"APPLIED ENERGETICS, INC.",0000879911
AERG,"APPLIED ENERGETICS, INC.",0000879911
AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,0000109563
AMAT,APPLIED MATERIALS INC /DE,0000006951
AAOI,"APPLIED OPTOELECTRONICS, INC.",0001158114
APYP,"APPYEA, INC",0001568969
ALDS,APPlife Digital Solutions Inc,0001755101
ATR,"APTARGROUP, INC.",0000896622
APAD,AParadise Acquisition Corp.,0001956439
APADU,AParadise Acquisition Corp.,0001956439
APG,APi Group Corp,0001796209
APXIF,APx Acquisition Corp. I,0001868573
APSI,AQUA POWER SYSTEMS INC.,0001553264
AQB,AQUABOUNTY TECHNOLOGIES INC,0001603978
ARBB,ARB IOT Group Ltd,0001930179
ABR-PF,ARBOR REALTY TRUST INC,0001253986
ABR,ARBOR REALTY TRUST INC,0001253986
ABR-PE,ARBOR REALTY TRUST INC,0001253986
ABR-PD,ARBOR REALTY TRUST INC,0001253986
ARCB,ARCBEST CORP /DE/,0000894405
ACGLO,ARCH CAPITAL GROUP LTD.,0000947484
ACGL,ARCH CAPITAL GROUP LTD.,0000947484
ACGLN,ARCH CAPITAL GROUP LTD.,0000947484
ARDX,"ARDELYX, INC.",0001437402
ARCC,ARES CAPITAL CORP,0001287750
ARSMF,ARES STRATEGIC MINING INC.,0001804792
AGX,ARGAN INC,0000100591
ARGX,ARGENX SE,0001697862
ARKR,ARK RESTAURANTS CORP,0000779544
ARKO,ARKO Corp.,0001823794
ARKOW,ARKO Corp.,0001823794
ARM,ARM HOLDINGS PLC /UK,0001973239
AWI,ARMSTRONG WORLD INDUSTRIES INC,0000007431
ARRKF,ARRAS MINERALS CORP.,0001855743
UZD,"ARRAY DIGITAL INFRASTRUCTURE, INC.",0000821130
UZE,"ARRAY DIGITAL INFRASTRUCTURE, INC.",0000821130
UZF,"ARRAY DIGITAL INFRASTRUCTURE, INC.",0000821130
AD,"ARRAY DIGITAL INFRASTRUCTURE, INC.",0000821130
USM,"ARRAY DIGITAL INFRASTRUCTURE, INC.",0000821130
ARW,"ARROW ELECTRONICS, INC.",0000007536
AROW,ARROW FINANCIAL CORP,0000717538
ARWR,"ARROWHEAD PHARMACEUTICALS, INC.",0000879407
SPRY,"ARS Pharmaceuticals, Inc.",0001671858
ARTL,"ARTELO BIOSCIENCES, INC.",0001621221
ATLEW,"ARTELO BIOSCIENCES, INC.",0001621221
ARTNA,ARTESIAN RESOURCES CORP,0000863110
ARTNB,ARTESIAN RESOURCES CORP,0000863110
AORT,"ARTIVION, INC.",0000784199
ARTW,ARTS WAY MANUFACTURING CO INC,0000007623
AVNI,ARVANA INC,0001113313
ARVN,"ARVINAS, INC.",0001655759
ARZTF,ARYZTA AG (fka IAWS GROUP PLC),0001423210
ARZXD,ARYZTA AG (fka IAWS GROUP PLC),0001423210
ASA,ASA Gold & Precious Metals Ltd,0001230869
ABG,ASBURY AUTOMOTIVE GROUP INC,0001144980
ACNT,ASCENT INDUSTRIES CO.,0000095953
AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL,0002023311
ASX,"ASE Technology Holding Co., Ltd.",0001122411
ASGN,ASGN Inc,0000890564
AHT,ASHFORD HOSPITALITY TRUST INC,0001232582
AHT-PG,ASHFORD HOSPITALITY TRUST INC,0001232582
AHT-PF,ASHFORD HOSPITALITY TRUST INC,0001232582
AHT-PD,ASHFORD HOSPITALITY TRUST INC,0001232582
AHT-PH,ASHFORD HOSPITALITY TRUST INC,0001232582
AHT-PI,ASHFORD HOSPITALITY TRUST INC,0001232582
ASH,ASHLAND INC.,0001674862
APWC,ASIA PACIFIC WIRE & CABLE CORP LTD,0001026980
ASFH,ASIAFIN HOLDINGS CORP.,0001828748
ASML,ASML HOLDING NV,0000937966
ASMLF,ASML HOLDING NV,0000937966
ASPI,ASP Isotopes Inc.,0001921865
ASPCU,ASPAC III Acquisition Corp.,0001890361
ASPCR,ASPAC III Acquisition Corp.,0001890361
ASPC,ASPAC III Acquisition Corp.,0001890361
ASPN,ASPEN AEROGELS INC,0001145986
ASPU,"ASPEN GROUP, INC.",0001487198
AHL-PF,ASPEN INSURANCE HOLDINGS LTD,0001267395
AHL-PE,ASPEN INSURANCE HOLDINGS LTD,0001267395
AHL,ASPEN INSURANCE HOLDINGS LTD,0001267395
AHL-PD,ASPEN INSURANCE HOLDINGS LTD,0001267395
ARNNY,ASR Nederland N.V./ADR,0001719117
ASRRF,ASR Nederland N.V./ADR,0001719117
ASMB,"ASSEMBLY BIOSCIENCES, INC.",0001426800
ASBA,ASSOCIATED BANC-CORP,0000007789
ASB-PF,ASSOCIATED BANC-CORP,0000007789
ASB-PE,ASSOCIATED BANC-CORP,0000007789
ASB,ASSOCIATED BANC-CORP,0000007789
AIZ,"ASSURANT, INC.",0001267238
AIZN,"ASSURANT, INC.",0001267238
AGO,ASSURED GUARANTY LTD,0001273813
ASTS,"AST SpaceMobile, Inc.",0001780312
ASTE,ASTEC INDUSTRIES INC,0000792987
AZN,ASTRAZENECA PLC,0000901832
AZNCF,ASTRAZENECA PLC,0000901832
ATROB,ASTRONICS CORP,0000008063
ATRO,ASTRONICS CORP,0000008063
ASTC,ASTROTECH Corp,0001001907
ASUR,ASURE SOFTWARE INC,0000884144
T-PA,AT&T INC.,0000732717
T-PC,AT&T INC.,0000732717
T,AT&T INC.,0000732717
TBB,AT&T INC.,0000732717
AACG,ATA Creativity Global,0001420529
ATAI,ATAI Life Sciences N.V.,0001840904
AHNRF,ATHENA GOLD CORP,0001304409
ATI,ATI INC,0001018963
ZBAI,ATIF Holdings Ltd,0001755058
AAME,ATLANTIC AMERICAN CORP,0000008177
SQLLW,ATLANTIC INTERNATIONAL CORP.,0001605888
ATLN,ATLANTIC INTERNATIONAL CORP.,0001605888
ALDA,ATLANTICA INC,0001062506
JUPGF,ATLAS CRITICAL MINERALS Corp,0001684688
ATO,ATMOS ENERGY CORP,0000731802
ATNI,"ATN International, Inc.",0000879585
ATOS,"ATOSSA THERAPEUTICS, INC.",0001488039
RERE,ATRenew Inc.,0001838957
ATS,ATS Corp /ATS,0001394832
AUBN,"AUBURN NATIONAL BANCORPORATION, INC",0000750574
AUUDW,AUDDIA INC.,0001554818
AUUD,AUDDIA INC.,0001554818
AUDC,AUDIOCODES LTD,0001086434
AEYE,AUDIOEYE INC,0001362190
AUGG,AUGUSTA GOLD CORP.,0001448597
AUNA,AUNA S.A.,0001799207
AUSI,AURA SYSTEMS INC,0000826253
AUIAF,AURANIA RESOURCES LTD.,0001568183
AUIWF,AURANIA RESOURCES LTD.,0001568183
ACB,AURORA CANNABIS INC,0001683541
ALV,AUTOLIV INC,0001034670
ADP,AUTOMATIC DATA PROCESSING INC,0000008670
AN,"AUTONATION, INC.",0000350698
AATC,AUTOSCOPE TECHNOLOGIES CORP,0000943034
AZO,AUTOZONE INC,0000866787
AVDL,AVADEL PHARMACEUTICALS PLC,0001012477
AWX,AVALON HOLDINGS CORP,0001061069
AVB,AVALONBAY COMMUNITIES INC,0000915912
AVNS,"AVANOS MEDICAL, INC.",0001606498
AVAI,AVANT TECHNOLOGIES INC.,0001740797
ATXI,"AVENUE THERAPEUTICS, INC.",0001644963
AVNW,"AVIAT NETWORKS, INC.",0001377789
AVNT,AVIENT CORP,0001122976
ASM,AVINO SILVER & GOLD MINES LTD,0000316888
CAR,"AVIS BUDGET GROUP, INC.",0000723612
AVA,AVISTA CORP,0000104918
RCEL,"AVITA Medical, Inc.",0001762303
AVHHL,"AVITA Medical, Inc.",0001762303
AVT,AVNET INC,0000008858
AVPMF,AVRUPA MINERALS LTD.,0001445467
AWRE,AWARE INC /MA/,0001015739
ACLS,AXCELIS TECHNOLOGIES INC,0001113232
AXIM,"AXIM BIOTECHNOLOGIES, INC.",0001514946
AXS,AXIS CAPITAL HOLDINGS LTD,0001214816
AXS-PE,AXIS CAPITAL HOLDINGS LTD,0001214816
AXON,"AXON ENTERPRISE, INC.",0001069183
AXTI,AXT INC,0001051627
AYRO,"AYRO, Inc.",0001086745
AYTU,"AYTU BIOPHARMA, INC",0001385818
AZULQ,AZUL SA,0001432364
AZZ,AZZ INC,0000008947
AARD,"Aardvark Therapeutics, Inc.",0001774857
ABCL,AbCellera Biologics Inc.,0001703057
ABLLW,"Abacus Global Management, Inc.",0001814287
ABLLL,"Abacus Global Management, Inc.",0001814287
ABL,"Abacus Global Management, Inc.",0001814287
ABXXF,Abaxx Technologies Inc.,0001971975
ABBV,AbbVie Inc.,0001551152
ABTS,Abits Group Inc,0001864055
AAVXF,Abivax S.A.,0001956827
ABVX,Abivax S.A.,0001956827
ABLV,Able View Global Inc.,0001957489
ABLVW,Able View Global Inc.,0001957489
ABVEW,Above Food Ingredients Inc.,0001979484
ABVE,Above Food Ingredients Inc.,0001979484
ABPWW,"Abpro Holdings, Inc.",0001893219
ABP,"Abpro Holdings, Inc.",0001893219
ABSI,Absci Corp,0001672688
ASO,"Academy Sports & Outdoors, Inc.",0001817358
ACHC,"Acadia Healthcare Company, Inc.",0001520697
AAMI,Acadian Asset Management Inc.,0001748824
ACEL,"Accel Entertainment, Inc.",0001698991
ARX,Accelerant Holdings,0001997350
ACN,Accenture plc,0001467373
ACCL,Acco Group Holdings Ltd,0002038378
ASII,"Accredited Solutions, Inc.",0001464865
ACUT,Accustem Sciences Inc.,0001850767
ACONW,"Aclarion, Inc.",0001635077
ACON,"Aclarion, Inc.",0001635077
ACRS,"Aclaris Therapeutics, Inc.",0001557746
ACRV,"Acrivon Therapeutics, Inc.",0001781174
ATNM,"Actinium Pharmaceuticals, Inc.",0001388320
ABOS,"Acumen Pharmaceuticals, Inc.",0001576885
ACXP,"Acurx Pharmaceuticals, Inc.",0001736243
GOLF,Acushnet Holdings Corp.,0001672013
ADAG,Adagene Inc.,0001818838
ADGM,"Adagio Medical Holdings, Inc.",0002006986
AHCO,AdaptHealth Corp.,0001725255
ADTI,"Adapti, Inc.",0001420924
ADAP,Adaptimmune Therapeutics PLC,0001621227
ADPT,Adaptive Biotechnologies Corp,0001478320
ADOOY,Adaro Energy PT/ADR/,0001489079
PADEF,Adaro Energy PT/ADR/,0001489079
XTXXF,Adastra Holdings Ltd.,0001891512
ADXN,Addex Therapeutics Ltd.,0001574232
ADUS,Addus HomeCare Corp,0001468328
AGRO,Adecoagro S.A.,0001499505
ADEA,Adeia Inc.,0001803696
ADIA,"Adia Nutrition, Inc.",0001160420
ACET,"Adicet Bio, Inc.",0001720580
ADNT,Adient plc,0001670541
ADTX,"Aditxt, Inc.",0001726711
ANL,Adlai Nortye Ltd.,0001944552
ADSE,Ads-Tec Energy Public Ltd Co,0001879248
ADSEW,Ads-Tec Energy Public Ltd Co,0001879248
ATGE,Adtalem Global Education Inc.,0000730464
ASIX,AdvanSix Inc.,0001673985
